Date,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
2/21/2021,7300,173,8236,-1109,1278653,34489,1087076,157088,27.53,4821.73,0.65,130.06,2.7,85.02,0.91,1.05
2/22/2021,10180,202,9918,60,1288833,34691,1096994,157148,38.39,4860.12,0.76,130.82,2.69,85.12,1.39,1.17
2/23/2021,9775,323,7996,1456,1298608,35014,1104990,158604,36.86,4896.98,1.22,132.04,2.7,85.09,0.96,1.6
2/24/2021,7533,240,7735,-442,1306141,35254,1112725,158162,28.41,4925.39,0.91,132.94,2.7,85.19,0.77,0.74
2/25/2021,8493,264,8686,-457,1314634,35518,1121411,157705,32.03,4957.41,1.0,133.94,2.7,85.3,1.13,1.1
2/26/2021,8232,268,7261,703,1322866,35786,1128672,158408,31.04,4988.45,1.01,134.95,2.71,85.32,0.97,1.02
2/27/2021,6208,195,7382,-1369,1329074,35981,1136054,157039,23.41,5011.86,0.74,135.68,2.71,85.48,0.75,0.73
2/28/2021,5560,185,6649,-1274,1334634,36166,1142703,155765,20.97,5032.83,0.7,136.38,2.71,85.62,0.9,0.95
3/1/2021,6680,159,9212,-2691,1341314,36325,1151915,153074,25.19,5058.02,0.6,136.98,2.71,85.88,1.2,0.86
3/2/2021,5712,193,8948,-3429,1347026,36518,1160863,149645,21.54,5079.56,0.73,137.71,2.71,86.18,0.86,1.21
3/3/2021,6808,203,9053,-2448,1353834,36721,1169916,147197,25.67,5105.23,0.77,138.47,2.71,86.42,1.19,1.05
3/4/2021,7264,176,6440,648,1361098,36897,1176356,147845,27.39,5132.63,0.66,139.14,2.71,86.43,1.07,0.87
3/5/2021,6971,129,6331,511,1368069,37026,1182687,148356,26.29,5158.91,0.49,139.62,2.71,86.45,0.96,0.73
3/6/2021,5767,128,6823,-1184,1373836,37154,1189510,147172,21.75,5180.66,0.48,140.11,2.7,86.58,0.83,0.99
3/7/2021,5826,112,5146,568,1379662,37266,1194656,147740,21.97,5202.63,0.42,140.53,2.7,86.59,1.01,0.88
3/8/2021,6894,281,8725,-2112,1386556,37547,1203381,145628,26.0,5228.63,1.06,141.59,2.71,86.79,1.18,2.51
3/9/2021,6389,210,7496,-1317,1392945,37757,1210877,144311,24.09,5252.72,0.79,142.38,2.71,86.93,0.93,0.75
3/10/2021,5633,175,5556,-98,1398578,37932,1216433,144213,21.24,5273.96,0.66,143.04,2.71,86.98,0.88,0.83
3/11/2021,5144,117,8170,-3143,1403722,38049,1224603,141070,19.4,5293.36,0.44,143.48,2.71,87.24,0.91,0.67
3/12/2021,6412,180,6851,-619,1410134,38229,1231454,140451,24.18,5317.54,0.68,144.16,2.71,87.33,1.25,1.54
3/13/2021,4607,100,6016,-1509,1414741,38329,1237470,138942,17.37,5334.91,0.38,144.54,2.71,87.47,0.72,0.56
3/14/2021,4714,97,5647,-1030,1419455,38426,1243117,137912,17.78,5352.69,0.37,144.9,2.71,87.58,1.02,0.97
3/15/2021,5589,147,6830,-1388,1425044,38573,1249947,136524,21.08,5373.76,0.55,145.46,2.71,87.71,1.19,1.52
3/16/2021,5414,180,7716,-2482,1430458,38753,1257663,134042,20.42,5394.18,0.68,146.14,2.71,87.92,0.97,1.22
3/17/2021,6825,162,9010,-2347,1437283,38915,1266673,131695,25.74,5419.92,0.61,146.75,2.71,88.13,1.26,0.9
3/18/2021,6570,227,6285,58,1443853,39142,1272958,131753,24.78,5444.69,0.86,147.6,2.71,88.16,0.96,1.4
3/19/2021,6279,197,6007,75,1450132,39339,1278965,131828,23.68,5468.37,0.74,148.35,2.71,88.2,0.96,0.87
3/20/2021,5656,108,5760,-212,1455788,39447,1284725,131616,21.33,5489.7,0.41,148.75,2.71,88.25,0.9,0.55
3/21/2021,4396,103,6065,-1772,1460184,39550,1290790,129844,16.58,5506.27,0.39,149.14,2.71,88.4,0.78,0.95
3/22/2021,5744,161,7177,-1594,1465928,39711,1297967,128250,21.66,5527.93,0.61,149.75,2.71,88.54,1.31,1.56
3/23/2021,5297,154,6954,-1811,1471225,39865,1304921,126439,19.97,5547.91,0.58,150.33,2.71,88.7,0.92,0.96
3/24/2021,5227,118,7622,-2513,1476452,39983,1312543,123926,19.71,5567.62,0.44,150.77,2.71,88.9,0.99,0.77
3/25/2021,6107,98,4656,1353,1482559,40081,1317199,125279,23.03,5590.65,0.37,151.14,2.7,88.85,1.17,0.83
3/26/2021,4982,85,5679,-782,1487541,40166,1322878,124497,18.79,5609.44,0.32,151.46,2.7,88.93,0.82,0.87
3/27/2021,4461,198,4243,20,1492002,40364,1327121,124517,16.82,5626.26,0.75,152.21,2.71,88.95,0.9,2.33
3/28/2021,4083,85,4279,-281,1496085,40449,1331400,124236,15.4,5641.65,0.32,152.53,2.7,88.99,0.92,0.43
